tournament_id,tournament_name,season
t060,TOUR Championship,2017
t028,BMW Championship,2017
t505,Dell Technologies Championship,2017
t027,THE NORTHERN TRUST,2017
t013,Wyndham Championship,2017
t033,PGA Championship,2017
t476,World Golf Championships-Bridgestone Invitational,2017
t472,Barracuda Championship,2017
t032,RBC Canadian Open,2017
t100,The Open Championship,2017
t518,Barbasol Championship,2017
t030,John Deere Classic,2017
t490,The Greenbrier Classic,2017
t471,Quicken Loans National,2017
t034,Travelers Championship,2017
t026,U.S. Open,2017
t025,FedEx St. Jude Classic,2017
t023,the Memorial Tournament presented by Nationwide,2017
t021,DEAN & DELUCA Invitational,2017
t019,AT&T Byron Nelson,2017
t011,THE PLAYERS Championship,2017
t480,Wells Fargo Championship,2017
t018,Zurich Classic of New Orleans,2017
t041,Valero Texas Open,2017
t012,RBC Heritage,2017
t014,Masters Tournament,2017
t020,Shell Houston Open,2017
t470,World Golf Championships-Dell Technologies Match Play,2017
t483,Puerto Rico Open,2017
t009,Arnold Palmer Invitational presented by Mastercard,2017
t475,Valspar Championship,2017
t473,World Golf Championships-Mexico Championship,2017
t010,The Honda Classic,2017
t007,Genesis Open,2017
t005,AT&T Pebble Beach Pro-Am,2017
t003,Waste Management Phoenix Open,2017
t004,Farmers Insurance Open,2017
t002,CareerBuilder Challenge,2017
t006,Sony Open in Hawaii,2017
t016,SBS Tournament of Champions,2017
t493,The RSM Classic,2017
t457,OHL Classic at Mayakoba,2017
t047,Shriners Hospitals for Children Open,2017
t489,World Golf Championships-HSBC Champions,2017
t054,Sanderson Farms Championship,2017
t494,CIMB Classic,2017
t464,Safeway Open,2017
t060,TOUR Championship,2018
t028,BMW Championship,2018
t505,Dell Technologies Championship,2018
t027,THE NORTHERN TRUST,2018
t013,Wyndham Championship,2018
t033,PGA Championship,2018
t476,World Golf Championships-Bridgestone Invitational,2018
t472,Barracuda Championship,2018
t032,RBC Canadian Open,2018
t100,The Open Championship,2018
t518,Barbasol Championship,2018
t030,John Deere Classic,2018
t490,A Military Tribute at The Greenbrier,2018
t471,Quicken Loans National,2018
t034,Travelers Championship,2018
t026,U.S. Open,2018
t025,FedEx St. Jude Classic,2018
t023,the Memorial Tournament presented by Nationwide,2018
t021,Fort Worth Invitational,2018
t019,AT&T Byron Nelson,2018
t011,THE PLAYERS Championship,2018
t480,Wells Fargo Championship,2018
t018,Zurich Classic of New Orleans,2018
t041,Valero Texas Open,2018
t012,RBC Heritage,2018
t014,Masters Tournament,2018
t020,Houston Open,2018
t470,World Golf Championships-Dell Technologies Match Play,2018
t522,Corales Puntacana Resort & Club Championship,2018
t009,Arnold Palmer Invitational presented by Mastercard,2018
t475,Valspar Championship,2018
t473,World Golf Championships-Mexico Championship,2018
t010,The Honda Classic,2018
t007,Genesis Open,2018
t005,AT&T Pebble Beach Pro-Am,2018
t003,Waste Management Phoenix Open,2018
t004,Farmers Insurance Open,2018
t002,CareerBuilder Challenge,2018
t006,Sony Open in Hawaii,2018
t016,Sentry Tournament of Champions,2018
t493,The RSM Classic,2018
t457,OHL Classic at Mayakoba,2018
t047,Shriners Hospitals for Children Open,2018
t489,World Golf Championships-HSBC Champions,2018
t054,Sanderson Farms Championship,2018
t521,THE CJ CUP @ NINE BRIDGES,2018
t494,CIMB Classic,2018
t464,Safeway Open,2018
t060,TOUR Championship,2019
t028,BMW Championship,2019
t027,THE NORTHERN TRUST,2019
t013,Wyndham Championship,2019
t472,Barracuda Championship,2019
t476,World Golf Championships-FedEx St. Jude Invitational,2019
t100,The Open Championship,2019
t518,Barbasol Championship,2019
t030,John Deere Classic,2019
t525,3M Open,2019
t524,Rocket Mortgage Classic,2019
t034,Travelers Championship,2019
t026,U.S. Open,2019
t032,RBC Canadian Open,2019
t023,the Memorial Tournament presented by Nationwide,2019
t021,Charles Schwab Challenge,2019
t033,PGA Championship,2019
t019,AT&T Byron Nelson,2019
t480,Wells Fargo Championship,2019
t018,Zurich Classic of New Orleans,2019
t012,RBC Heritage,2019
t014,Masters Tournament,2019
t041,Valero Texas Open,2019
t470,World Golf Championships-Dell Technologies Match Play,2019
t522,Corales Puntacana Resort & Club Championship,2019
t475,Valspar Championship,2019
t011,THE PLAYERS Championship,2019
t009,Arnold Palmer Invitational presented by Mastercard,2019
t010,The Honda Classic,2019
t473,World Golf Championships-Mexico Championship,2019
t483,Puerto Rico Open,2019
t007,Genesis Open,2019
t005,AT&T Pebble Beach Pro-Am,2019
t003,Waste Management Phoenix Open,2019
t004,Farmers Insurance Open,2019
t002,Desert Classic,2019
t006,Sony Open in Hawaii,2019
t016,Sentry Tournament of Champions,2019
t493,The RSM Classic,2019
t457,Mayakoba Golf Classic,2019
t047,Shriners Hospitals for Children Open,2019
t489,World Golf Championships-HSBC Champions,2019
t054,Sanderson Farms Championship,2019
t521,THE CJ CUP @ NINE BRIDGES,2019
