tournament_id,tournament_name,date,tournament_purse,win_total,tournament_size,winner_name,winner_id,season_id
892,Hyundai Tournament of Champions,2011-01-06,5600000.0,268.0,34.0,Jonathan Byrd,508,2011
897,Sony Open in Hawaii,2011-01-13,5500000.0,264.0,144.0,Mark Wilson,479,2011
893,Bob Hope Classic,2011-01-19,5000000.0,333.0,128.0,Jhonattan Vegas,1030,2011
896,Farmers Insurance Open,2011-01-27,5800000.0,272.0,156.0,Bubba Watson,780,2011
894,Waste Management Phoenix Open,2011-02-03,6100000.0,266.0,132.0,Mark Wilson,479,2011
895,AT&T Pebble Beach National Pro-Am,2011-02-10,6300000.0,271.0,156.0,D.A. Points,1196,2011
898,Northern Trust Open,2011-02-17,6500000.0,272.0,144.0,Aaron Baddeley,16,2011
919,World Golf Championships-Accenture Match Play Championship,2011-02-23,850000.0,,0.0,,,2011
923,Mayakoba Golf Classic at Riviera Maya-Cancun,2011-02-24,3700000.0,267.0,132.0,Johnson Wagner,1265,2011
899,The Honda Classic,2011-03-03,5700000.0,271.0,144.0,Rory Sabbatini,377,2011
985,World Golf Championships-Cadillac Championship,2011-03-10,8500000.0,272.0,69.0,Nick Watney,1042,2011
926,Puerto Rico Open presented by seepuertorico.com,2011-03-10,3500000.0,272.0,132.0,Michael Bradley,49,2011
918,Transitions Championship,2011-03-17,5500000.0,269.0,144.0,Gary Woodland,3550,2011
900,Arnold Palmer Invitational presented by MasterCard,2011-03-24,6000000.0,280.0,120.0,Martin Laird,2571,2011
905,Shell Houston Open,2011-03-31,5900000.0,268.0,144.0,Phil Mickelson,308,2011
980,The Masters,2011-04-07,7500000.0,274.0,99.0,Charl Schwartzel,1097,2011
915,Valero Texas Open,2011-04-14,6200000.0,280.0,144.0,Brendan Steele,3596,2011
903,The Heritage,2011-04-21,5700000.0,272.0,132.0,Brandt Snedeker,1222,2011
901,Zurich Classic of New Orleans,2011-04-28,6400000.0,273.0,156.0,Bubba Watson,780,2011
921,Wells Fargo Championship,2011-05-05,6500000.0,273.0,156.0,Lucas Glover,676,2011
902,THE PLAYERS Championship,2011-05-12,9500000.0,275.0,145.0,K.J. Choi,77,2011
907,Crowne Plaza Invitational at Colonial,2011-05-19,6200000.0,265.0,126.0,David Toms,429,2011
906,HP Byron Nelson Championship,2011-05-26,6500000.0,277.0,156.0,Keegan Bradley,4513,2011
908,the Memorial Tournament presented by Nationwide Insurance,2011-06-02,6200000.0,272.0,120.0,Steve Stricker,412,2011
909,FedEx St. Jude Classic,2011-06-09,5600000.0,267.0,156.0,Harrison Frazar,144,2011
981,U.S. Open,2011-06-16,7500000.0,268.0,156.0,Rory McIlroy,3470,2011
910,Travelers Championship,2011-06-23,6000000.0,260.0,156.0,Freddie Jacobson,540,2011
925,AT&T National,2011-06-30,6200000.0,267.0,120.0,Nick Watney,1042,2011
913,John Deere Classic,2011-07-07,4500000.0,262.0,156.0,Steve Stricker,412,2011
982,The Open Championship,2011-07-14,7300000.0,275.0,156.0,Darren Clarke,82,2011
912,Viking Classic,2011-07-14,3600000.0,266.0,132.0,Chris Kirk,3449,2011
986,RBC Canadian Open,2011-07-21,5200000.0,276.0,156.0,Sean O'Hair,1359,2011
927,The Greenbrier Classic,2011-07-28,6000000.0,270.0,156.0,Scott Stallings,3378,2011
987,World Golf Championships-Bridgestone Invitational,2011-08-04,8500000.0,263.0,80.0,Adam Scott,388,2011
920,Reno-Tahoe Open,2011-08-04,3000000.0,273.0,132.0,Scott Piercy,1037,2011
