pga_stat_name,pga_stat_id,pga_tourn_id,pga_season_id,RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,%,GREENS_HIT,TOTAL_HOLES,RELATIVE_TO_PAR
GIR_Percentage_-_75-100_yards,078,t060,2017,1,1,Ben Martin,86,92.86,52,56,-0.15
GIR_Percentage_-_75-100_yards,078,t060,2017,2,2,Ryan Brehm,83,92.75,64,69,-0.25
GIR_Percentage_-_75-100_yards,078,t060,2017,3,3,Adam Scott,58,91.89,34,37,-0.18
GIR_Percentage_-_75-100_yards,078,t060,2017,4,4,Roberto Castro,70,91.30,63,69,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,5,5,Patton Kizzire,84,90.67,68,75,-0.35
GIR_Percentage_-_75-100_yards,078,t060,2017,6,6,Troy Merritt,82,90.00,63,70,-0.38
GIR_Percentage_-_75-100_yards,078,t060,2017,7,7,Patrick Cantlay,52,89.19,33,37,-0.33
GIR_Percentage_-_75-100_yards,078,t060,2017,T8,T8,Ryan Armour,63,88.64,39,44,-0.38
GIR_Percentage_-_75-100_yards,078,t060,2017,T8,T8,Luke Donald,50,88.64,39,44,-0.31
GIR_Percentage_-_75-100_yards,078,t060,2017,10,11,Jhonattan Vegas,95,88.14,52,59,-0.33
GIR_Percentage_-_75-100_yards,078,t060,2017,11,12,Scott Stallings,81,87.95,73,83,-0.33
GIR_Percentage_-_75-100_yards,078,t060,2017,12,13,Graham DeLaet,82,87.72,50,57,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,13,T14,Brian Gay,82,87.50,77,88,-0.39
GIR_Percentage_-_75-100_yards,078,t060,2017,14,16,Ryan Blaum,100,87.21,75,86,-0.28
GIR_Percentage_-_75-100_yards,078,t060,2017,15,17,Wesley Bryan,95,87.10,54,62,-0.44
GIR_Percentage_-_75-100_yards,078,t060,2017,16,19,Miguel Angel Carballo,63,86.79,46,53,-0.17
GIR_Percentage_-_75-100_yards,078,t060,2017,17,10,Jordan Spieth,85,86.49,64,74,-0.31
GIR_Percentage_-_75-100_yards,078,t060,2017,18,20,Adam Hadwin,98,86.30,63,73,-0.44
GIR_Percentage_-_75-100_yards,078,t060,2017,19,21,Ben Crane,86,86.21,50,58,-0.20
GIR_Percentage_-_75-100_yards,078,t060,2017,20,22,Jim Furyk,54,86.05,37,43,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,21,28,Daniel Berger,91,85.96,49,57,-0.35
GIR_Percentage_-_75-100_yards,078,t060,2017,22,23,Martin Flores,88,85.90,67,78,-0.27
GIR_Percentage_-_75-100_yards,078,t060,2017,T23,T24,Tim Wilkinson,64,85.71,42,49,-0.38
GIR_Percentage_-_75-100_yards,078,t060,2017,T23,T24,Andres Gonzales,73,85.71,48,56,-0.25
GIR_Percentage_-_75-100_yards,078,t060,2017,25,26,Kevin Na,86,85.48,53,62,-0.28
GIR_Percentage_-_75-100_yards,078,t060,2017,26,27,Brandt Snedeker,53,85.42,41,48,-0.17
GIR_Percentage_-_75-100_yards,078,t060,2017,T27,T29,Cameron Percy,71,85.11,40,47,-0.13
GIR_Percentage_-_75-100_yards,078,t060,2017,T27,18,Rickie Fowler,78,85.11,40,47,-0.40
GIR_Percentage_-_75-100_yards,078,t060,2017,T27,T29,Rick Lamb,54,85.11,40,47,-0.33
GIR_Percentage_-_75-100_yards,078,t060,2017,30,33,Jon Rahm,90,84.88,73,86,-0.34
